ID PUMS Occupation,PUMS Occupation,Average Wage (2014),Average Wage (2015),Average Wage (2016),Average Wage (2017),Average Wage (2018)
"254010","Archivists, curators, & museum technicians",36054.586737846745,36720.49675992594,36716.8640159423,38186.29769087955,42851.06709165478
"254022","Librarians and media collections specialists",,,,,38743.72834992776
"254031","Library technicians",11829.75042605567,15306.353151064406,13534.281598402951,15429.89246850625,13851.995335699552
"259040","Teaching assistants",,,,,17811.086020843995
"2590XX","Other education, training, & library workers",37244.80397526055,37485.04047984416,36637.841112920316,37486.314783627895,39471.424578034836
"271010","Artists & related workers",24623.606022864653,26434.789787091468,24607.040905553848,25735.33871981712,27498.675091833247
"271021","Commercial and industrial designers",,,,,64670.474974791454
"271022","Fashion designers",,,,,42376.83793625729
"271023","Floral designers",,,,,19378.37092044049
"271024","Graphic designers",,,,,38353.11703256923
"271025","Interior designers",,,,,36057.52256948615
"271026","Merchandise displayers and window trimmers",,,,,21568.25270854459
"27102X","Other designers",,,,,53254.28081265958
"272011","Actors",21791.506356224956,23392.229709187868,27387.22885390385,22883.38918937822,23278.843102325638
"272012","Producers & directors",61987.7507719453,63618.95895613413,64821.253791279385,64043.45037603316,70816.3037620952
"272021","Athletes and sports competitors",,,,,46411.686201250996
"272022","Coaches and scouts",,,,,23108.58017214645
"272023","Umpires, referees, and other sports officials",,,,,6318.698676389224
"272030","Dancers & choreographers",13928.876832046792,21144.881561908558,16876.106155313064,18940.955724157582,17538.80529706514
"272041","Music directors and composers",,,,,34240.47854996907
"272042","Musicians and singers",,,,,16029.08324698749
"272091","Disc jockeys, except radio",,,,,13987.332464362971
"272099","Entertainers & performers, sports & related workers, all other",21546.996403487938,17556.97152371891,19636.947429357675,19567.697160586686,26172.14898181253
"273011","Broadcast announcers and radio disc jockeys",,,,,47494.13361466179
"273023","News analysts, reporters, and journalists",,,,,55210.178798093686
"273031","Public relations specialists",62756.379830815466,61659.944484615284,67636.6851925291,68522.97323823039,68406.59815668203
"273041","Editors",40665.2081159813,42375.39810671713,40657.73448719417,42139.17582272186,44473.701346514084
"273042","Technical writers",55239.83719697973,54447.752383451414,58567.37515642057,54266.8376228813,60787.67783106536
"273043","Writers & authors",35058.18711063147,34883.22368023181,32958.22145269152,35092.12025021906,38738.878136211984
